Mediterranean Avenue|2|50|50|60|33|2|10|30|90|160|250
Baltic Avenue|2|50|50|60|33|4|20|60|180|320|450
Oriental Avenue|3|50|50|100|55|6|30|90|270|400|550
Vermont Avenue|3|50|50|100|55|6|30|90|270|400|550
Connecticut Avenue|3|50|50|120|66|8|40|100|300|450|600
St. Charles Place|4|100|100|140|77|10|50|150|450|625|750
States Avenue|4|100|100|140|77|10|50|150|450|625|750
Virginia Avenue|4|100|100|160|88|12|60|180|500|700|900
St. James Place|5|100|100|180|99|14|70|200|550|750|950
Tennessee Avenue|5|100|100|180|99|14|70|200|550|750|950
New York Avenue|5|100|100|200|110|16|80|220|600|800|1000
Kentucky Avenue|6|150|150|220|121|18|90|250|700|875|1050
Indiana Avenue|6|150|150|220|121|18|90|250|700|875|1050
Illinois Avenue|6|150|150|240|132|20|100|300|750|925|1100
Atlantic Avenue|7|150|150|260|143|22|110|330|800|975|1150
Ventnor Avenue|7|150|150|260|143|22|110|330|800|975|1150
Marvin Gardens|7|150|150|280|154|24|120|360|850|1025|1200
Pacific Avenue|8|200|200|300|165|26|130|390|900|1100|1275
North Carolina Avenue|8|200|200|300|165|26|130|390|900|1100|1275
Pennsylvania Avenue|8|200|200|320|176|28|150|450|1000|1200|1400
Park Place|9|200|200|350|193|35|175|500|1100|1300|1500
Boardwalk|9|200|200|400|220|50|200|600|1400|1700|2000
