Main Office|1|50|50|60|33|2|10|30|90|160|250
Student Services|1|50|50|60|33|4|20|60|180|320|450
Washrooms|2|50|50|100|55|6|30|90|270|400|550
Lockers|2|50|50|100|55|6|30|90|270|400|550
Library Road|2|50|50|120|66|8|40|100|300|450|600
Computer Hallway|3|100|100|140|77|10|50|150|450|625|750
Computer Office|3|100|100|140|77|10|50|150|450|625|750
Computer Room|3|100|100|160|88|12|60|180|500|700|900
Math Hallway|4|100|100|180|99|14|70|200|550|750|950
Math Office|4|100|100|180|99|14|70|200|550|750|950
Math Room|4|100|100|200|110|16|80|220|600|800|1000
Art Hallway|5|150|150|220|121|18|90|250|700|875|1050
Art Office|5|150|150|220|121|18|90|250|700|875|1050
Art Room|5|150|150|240|132|20|100|300|750|925|1100
Science Hallway|6|150|150|260|143|22|110|330|800|975|1150
Science Office|6|150|150|260|143|22|110|330|800|975|1150
Science Room|6|150|150|280|154|24|120|360|850|1025|1200
English Hallway|7|200|200|300|165|26|130|390|900|1100|1275
English Office|7|200|200|300|165|26|130|390|900|1100|1275
English Room|7|200|200|320|176|28|150|450|1000|1200|1400
Cafeteria|8|200|200|350|193|35|175|500|1100|1300|1500
Gymnasium|8|200|200|400|220|50|200|600|1400|1700|2000
